token,frequency
moreton,1
bay,1
fig,1
1877,1
santa,12
barbara,12
glasgow,9
heads,1
up,2
steak,1
&,1
ale,1
pie,1
adams,2
flume,2
showing,1
elevation,1
of,4
in,5
relation,1
to,1
river,3
848,1
-,7
klamath,1
pumping,1
plant,2
loading,1
concrete,3
bucket,1
from,2
4.,1
cu.,1
yd.,1
transit,1
mix,1
truck,1
for,3
wall,1
pour,1
break,2
c-canal,1
"lining,",1
ccc,1
enrollees,1
repairing,1
the,2
clear,2
lake,2
dam,5
large,1
stone,1
self-dumping,1
car,1
work,1
horses,1
starting,1
diversion,2
first,2
water,2
into,1
government,1
laterals,1
enterprise,1
power,1
placing,2
forebay,1
paving,1
"excavation,",1
main,1
"canal,",1
division,1
2,1
gerber,1
general,1
view,1
looking,2
north,1
going,1
over,1
spillway,1
time,1
link,1
canal,1
upper,1
portal,1
tunnel,1
lost,1
channel,1
headworks,1
floor,1
slab,1
gate,1
section,1
